"GARCIA, MARIA TERESA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mgarcia_small.jpg"
"GARCIA LARRABURU, SILVINA MARCELA","RIO NEGRO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/sgarcial_small.jpg"
"GARNERO, ESTELA RAMONA","CORDOBA","CORDOBA FEDERAL","http://www4.hcdn.gov.ar/fotos/egarnero_small.jpg"
"GARRAMUÑO, JORGE ALBERTO","TIERRA DEL FUEGO","MOV POP FUEGUINO","http://www4.hcdn.gov.ar/fotos/jgarramuno_small.jpg"
"GARRIDO, MANUEL","CIUDAD de BUENOS AIRES","UCR","http://www4.hcdn.gov.ar/fotos/mgarrido_small.jpg"
"GDANSKY, CARLOS ENRIQUE","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/cgdansky_small.jpg"
"GERMANO, DANIEL","SANTA FE","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/dgermano_small.jpg"
"GIACCONE, CLAUDIA ALEJANDRA","SANTA FE","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/cgiaccone_small.jpg"
"GIACOMINO, DANIEL OSCAR","CORDOBA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/dgiacomino_small.jpg"
"GIANNETTASIO, GRACIELA MARIA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ggiannettasio_small.jpg"
"GIL LAVEDRA, RICARDO RODOLFO","CIUDAD de BUENOS AIRES","UCR","http://www4.hcdn.gov.ar/fotos/rgill_small.jpg"
"GIUBERGIA, MIGUEL ANGEL","JUJUY","UCR","http://www4.hcdn.gov.ar/fotos/mgiubergia_small.jpg"
"GONZALEZ, GLADYS ESTHER","BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/ggonzalez_small.jpg"
"GONZALEZ, JUAN DANTE","MENDOZA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jgonzalez_small.jpg"
"GONZALEZ, NANCY SUSANA","CHUBUT","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ngonzalez_small.jpg"
"GRANADOS, DULCE","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/dgranados_small.jpg"
"GROSSO, LEONARDO","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/lgrosso_small.jpg"
"GUCCIONE, JOSE DANIEL","MISIONES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jguccione_small.jpg"
"GUTIERREZ, MONICA EDITH","CORDOBA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mgutierrez_small.jpg"
"GUZMAN, OLGA ELIZABETH","NEUQUEN","MOV POP NEUQUINO","http://www4.hcdn.gov.ar/fotos/oguzman_small.jpg"
"HARISPE, GASTON","BUENOS AIRES","NUEVO ENCUENTRO","http://www4.hcdn.gov.ar/fotos/gharispe_small.jpg"
"HELLER, CARLOS SALOMON","CIUDAD de BUENOS AIRES","NUEVO ENCUENTRO","http://www4.hcdn.gov.ar/fotos/cheller_small.jpg"
"HERRERA, JOSE ALBERTO","SANTIAGO DEL ESTERO","FRENTE CIVICO POR SANTIAGO","http://www4.hcdn.gov.ar/fotos/jherrera_small.jpg"
"HERRERA, GRISELDA NOEMI","LA RIOJA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/gherrera_small.jpg"
"IANNI, ANA MARIA","SANTA CRUZ","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/aianni_small.jpg"
"IBARRA, EDUARDO MAURICIO","SAN JUAN","UNION POR SAN JUAN","http://www4.hcdn.gov.ar/fotos/eibarra_small.jpg"
"ITURRASPE, NORA GRACIELA","BUENOS AIRES","UNIDAD POPULAR","http://www4.hcdn.gov.ar/fotos/giturraspe_small.jpg"
"JUNIO, JUAN CARLOS","CIUDAD de BUENOS AIRES","NUEVO ENCUENTRO","http://www4.hcdn.gov.ar/fotos/jcjunio_small.jpg"
"JURI, MARIANA","MENDOZA","UCR","http://www4.hcdn.gov.ar/fotos/mjuri_small.jpg"
"KOSINER, PABLO FRANCISCO JUAN","SALTA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/pkosiner_small.jpg"
"KRONEBERGER, DANIEL RICARDO","LA PAMPA","UCR","http://www4.hcdn.gov.ar/fotos/dkroneberger_small.jpg"
"KUNKEL, CARLOS MIGUEL","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ckunkel_small.jpg"
"LANDAU, JORGE ALBERTO","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jlandau_small.jpg"
"LARROQUE, ANDRES","CIUDAD de BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/alarroque_small.jpg"
"LEDESMA, JULIO RUBEN","BUENOS AIRES","CORRIENTE DE PENSAMIENTO FEDERAL","http://www4.hcdn.gov.ar/fotos/jledesma_small.jpg"
"LEVERBERG, STELLA MARIS","MISIONES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/sleverberg_small.jpg"
"LINARES, MARIA VIRGINIA","BUENOS AIRES","GEN","http://www4.hcdn.gov.ar/fotos/vlinares_small.jpg"
"LLANOS, ERMINDO EDGARDO MARCELO","JUJUY","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/eellanos_small.jpg"
"LOTTO, INES BEATRIZ","FORMOSA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ilotto_small.jpg"
"LOZANO, CLAUDIO","CIUDAD de BUENOS AIRES","UNIDAD POPULAR","http://www4.hcdn.gov.ar/fotos/clozano_small.jpg"
"MAJDALANI, SILVIA CRISTINA","BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/smajdalani_small.jpg"
"MALDONADO, VICTOR HUGO","CHACO","UCR","http://www4.hcdn.gov.ar/fotos/vmaldonado_small.jpg"
"MARTINEZ, OSCAR ARIEL","SANTA FE","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/omartinez_small.jpg"
"MARTINEZ, JULIO CESAR","LA RIOJA","UCR","http://www4.hcdn.gov.ar/fotos/jmartinez_small.jpg"
"MARTINEZ, ERNESTO FELIX","CORDOBA","FRENTE CIVICO - CORDOBA","http://www4.hcdn.gov.ar/fotos/emartinezc_small.jpg"
"MARTINEZ, SOLEDAD","BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/smartinez_small.jpg"
"MAZZARELLA, SUSANA DEL VALLE","CORDOBA","FRENTE CIVICO - CORDOBA","http://www4.hcdn.gov.ar/fotos/smazzarelladelv_small.jpg"
"MENDOZA, MAYRA SOLEDAD","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mmendoza_small.jpg"
"MENDOZA, SANDRA MARCELA","CHACO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/smendoza_small.jpg"
"METAZA, MARIO ALFREDO","SANTA CRUZ","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mmetaza_small.jpg"
"MICHETTI, MARTA GABRIELA","CIUDAD de BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/gmichetti_small.jpg"
"MILMAN, GERARDO FABIAN","BUENOS AIRES","GEN","http://www4.hcdn.gov.ar/fotos/gmilman_small.jpg"
"MOLAS, PEDRO OMAR","CATAMARCA","FRENTE CIVICO Y SOCIAL DE CATAMARCA","http://www4.hcdn.gov.ar/fotos/pmolas_small.jpg"
"MOLINA, MANUEL ISAURO","CATAMARCA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mmolina_small.jpg"
"MONGELO, JOSE RICARDO","CHACO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jmongelo_small.jpg"
"MORENO, CARLOS JULIO","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/cmoreno_small.jpg"
"MOUILLERON, ROBERTO MARIO","BUENOS AIRES","UNION PERONISTA","http://www4.hcdn.gov.ar/fotos/rmouilleron_small.jpg"
"MOYANO, JUAN FACUNDO","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/fmoyano_small.jpg"
"MULLER, MABEL HILDA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mmuller_small.jpg"
"MULLER, EDGAR RAUL","CORDOBA","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/emuller_small.jpg"
"NAVARRO, GRACIELA","SANTIAGO DEL ESTERO","FRENTE CIVICO POR SANTIAGO","http://www4.hcdn.gov.ar/fotos/gnavarro_small.jpg"
"NEBREDA, CARMEN ROSA","CORDOBA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/cnebreda_small.jpg"
"NEGRI, MARIO RAUL","CORDOBA","UCR","http://www4.hcdn.gov.ar/fotos/mnegri_small.jpg"
"OBIGLIO, JULIAN MARTIN","CIUDAD de BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/jobiglio_small.jpg"
"OCAÑA, MARIA GRACIELA","BUENOS AIRES","UNIDAD PARA EL DESARROLLO SOCIAL Y LA EQUIDAD","http://www4.hcdn.gov.ar/fotos/mocana_small.jpg"
"OLIVA, CRISTIAN RODOLFO","SANTIAGO DEL ESTERO","FRENTE CIVICO POR SANTIAGO","http://www4.hcdn.gov.ar/fotos/coliva_small.jpg"
"OLMEDO, ALFREDO HORACIO","SALTA","SALTA SOMOS TODOS","http://www4.hcdn.gov.ar/fotos/aolmedo_small.jpg"
"OPORTO, MARIO NESTOR","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/moporto_small.jpg"
"ORSOLINI, PABLO EDUARDO","CHACO","UCR","http://www4.hcdn.gov.ar/fotos/porsolini_small.jpg"
"ORTIZ, MARIELA","JUJUY","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mortiz_small.jpg"
"ORTIZ CORREA, MARCIA SARA MARIA","CATAMARCA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mortizcorrea_small.jpg"
"PAIS, JUAN MARIO","CHUBUT","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jpais_small.jpg"
"PANSA, SERGIO HORACIO","SAN LUIS","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/spansa_small.jpg"
"PARADA, LILIANA BEATRIZ","CIUDAD de BUENOS AIRES","UNIDAD POPULAR","http://www4.hcdn.gov.ar/fotos/lparada_small.jpg"
